Helleland/Bjerkreim, Norway
Skjetnemarka, Norway
Skjetten, Norway
Skjevstad, Tomma, Norway
Skjoldtun, Norway
Skorpa, Norway
Skorstad, Norway
Skotterud, Norway
Skovgård, Charlottenlund, Norway
Skøyenmoen, Ilseng, Norway
Skråfjord, Norway
Skullerud, Oslo, Norway
Skurdalen, Norway
Skyåsvn. i Tr.heim, Norway
Slagen, Norway
Slåstad, Norway
Slettevik, Norway
Slettheia, 4620 Vågsbygd, Norway
Snarum, Norway
Snippen, Alstadhaug, Norway
Sofiesgt., Norway
Sognefjorden, Norway
Solborgvannet, Norway
Solbrå, Leirsund, Norway
Sollien, Bergen, Norway
Solør, Norway
Solvang, Norway
Sommerset, Sørfold, Norway
Søndre Aulie, Norway
Songe, Norway
Sonvatnet, Norway
Sør-Gardermoen postkontor, Norway
Sør Yemen, Norway
Sørbyhaugen, Oslo, Norway
Sortland, Norway
Sørum, Norway
Søtefjell, Norway
Sousse, Norway
Spareland vMoss, Norway
Spedalen, Norway
Spydeberg, Norway
St. Hanshaugen i Oslo, Norway
Stabekk, Norway
Stampen, Norway
Stange, Norway
Stavanger lufthavn, Sola, Norway
Stavanger, Norway
Stavern, Norway
Stavsjø, Norway
Steinestø - Knarvik, Norway
Steinkjer, Norway
Stemalen, Tønsberg, Norway
Stenb.Haugen, Norway
Stjørdal, Norway
Stokke, Norway
Storbukt, Honningsvåg, Norway
Stord, Norway
Stordalsvannet, Norway
Storvågan, Kabelvåg, Norway
Stovner, Norway
Stovnerbakken, Oslo 5, Norway
Stranda, Norway
Strandveien,  2300 Hamar, Norway
Strandveien, 2300 Hamar, Norway
Straumen, Norway
Straumsjøen, Norway
Strømsbu v/Arendal, Norway
Stryn, Norway
Sulafjellet, Norway
Sulitjelma, Norway
Sundalen, Norway
Sundsbarm, Norway
Svarstad, Norway
Svartebotn, Norway
Svartnes Fergestad, Norway
Sveio, Norway
Svensby, Norway
Svindal, Norway
Sylte, Vanylven, Norway
Tana, Norway
Tarva, Norway
Tisvattnet, Norway
Titlestad, Norway
Tjeldøy, Norway
Tjølling, Norway
Tjøme, Norway
Tolga, Norway
Tollbodgt. Kr.sand, Norway
Tollevik, Bømlo, Norway
Tolvsrød v/Tønsberg, Norway
Tolvsrød, Norway
Tomtehaugen, Råholt, Norway
Tønsberg, Norway
Tonstad, Norway
Tørberget, Norway
Torvik, Norway
Tovik, Norway
Tøyen, Oslo 5, Norway
Trandumskogen, Norway
Tretten i Gudbrandsdalen, Norway
Tretten, Norway
Trollia, Eidsvågneset, Norway
Tromøy, Norway
Tromøya, Norway
Tromsø, Norway
Trondheim, Norway
Tronstad, Innhavet, Norway
Trygve Nilsensvei Oslo 10, Norway
Trysil, Norway
Tunsjøen, Norway
Tuv, Norway
Tveita, Norway
Tvetenveien, Oslo, Norway
Tydal, Norway
Tynset, Norway
Tyrifjord, Norway
Tyristrand, Norway
Ullern, Sør-Odal, Norway
Ulnes, Norway
Ulset, Norway
Ulsetåsen, Åsane, Norway
Ulsrudvannet, Norway
Ulstein, Norway
Ulsteinvik, Norway
Ulvsvåg, Norway
Undrumsdal, Våle, Norway
Utenfor Tjøme, Norway
Utøy, Norway
Utvik, Norway
v/Mandal, Norway
Vadmyra, Norway
Vadmyrvn, Loddefjord, Norway
Vadsø, Norway
Vågen, 7633 Frosta, Norway
Vågsbygd, Norway
Vaksdal, Norway
Valdres, Norway
Våle, Norway
Valle i Bamle, Norway
Valle i Setesdal, Norway
Vallø, Norway
Valmen, 2460 Osen, Norway
Valnes i Salten, Norway
Vang kirke, Norway
Vang, Norway
Vanvikan, Norway
Vardenlia, Norway
